Ta2CrNO5,1,orthorhombic
CrPHO5,1,triclinic
Li4CoOF5,0,monoclinic
Li2Fe4O3F8,1,triclinic
Li2AlVO4,1,orthorhombic
LiCrPO4,1,monoclinic
Li3Ti4MnO12,0,triclinic
Li2AlCoO4,1,monoclinic
Li2NbOF5,1,trigonal
Li5V2Ni5O12,1,monoclinic
Li3Fe(NiO2)4,0,monoclinic
Li3Sn2(PO3)7,1,triclinic
Li4FeP2O9,1,orthorhombic
SrH4(SO4)3,1,triclinic
Li2FeSiO4,1,orthorhombic
LiCoPO4,1,orthorhombic
LiSn(PO3)3,1,orthorhombic
Li4V2OF7,1,monoclinic
LiCoPO4,1,orthorhombic
LiFeP2O7,1,monoclinic
Li2VGa3O8,1,triclinic
BPH9C2,1,monoclinic
Li3V(OF)2,1,monoclinic
Li2Mn(SiO3)2,1,orthorhombic
Li4MnOF5,1,monoclinic
Li7VO5F,1,triclinic
Li6V3P8O29,0,triclinic
Li3Sb2(PO4)3,1,monoclinic
Li11Ti12(NiO8)4,1,trigonal
Li6Mn5SbO12,1,monoclinic
Li6V3P8O29,1,triclinic
Li3Fe8(BO3)8,1,triclinic
Li2Co3SbO8,0,trigonal
LiV(PO3)3,1,trigonal
NaV2(PO4)3,1,monoclinic
Li3Fe8(BO3)8,1,triclinic
Li8Fe3Co7O20,1,monoclinic
Li5Mn(CO3)4,1,monoclinic
Li5V(CO3)4,1,monoclinic
Li6Fe9CoO20,0,monoclinic
Li6Mn5FeO12,0,monoclinic
LiSiBiO4,1,trigonal
Li3Mn4(PO4)6,1,triclinic
SbN3(O3F)3,1,orthorhombic
LiLa3MnO7,1,monoclinic
Li2TiCo2O5,1,monoclinic
MnV5(PO4)6,1,trigonal
Li3FeSiO5,1,triclinic
Na3Ni(BO3)2,0,monoclinic
FePO4F,0,orthorhombic
LiMnSbO4,1,orthorhombic
MnH4(OF2)2,1,monoclinic
Li5V3P8O29,0,triclinic
Ba6Ti7(Sb3O14)3,0,monoclinic
Li3Nb2VO6,1,monoclinic
Li15Zr7(Cu3O14)2,1,triclinic
Na3Bi(BO3)2,1,monoclinic
Li2CrPO6,1,orthorhombic
Li7Mn8(BO3)8,1,triclinic
Li7Mn8(BO3)8,1,triclinic
